年份,季度,企业,品牌,车型,排量,原城市,流向城市,车龄年,数量
2017,第三季度,上汽通用,别克,昂科威,2.0T,信阳市,南阳市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,襄阳市,襄阳市,1-2年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,恩施土家族苗族自治州,恩施土家族苗族自治州,2-3年,2
2017,第三季度,上汽通用,别克,昂科威,1.5T,亳州市,亳州市,1-2年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,上海市,南通市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,盘锦市,盘锦市,1-2年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,大庆市,大庆市,2-3年,2
2017,第三季度,上汽通用,别克,昂科威,2.0T,深圳市,梅州市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,深圳市,深圳市,1-2年,3
2017,第三季度,上汽通用,别克,昂科威,1.5T,宣城市,宣城市,1-2年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,丹东市,沈阳市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,黄石市,黄石市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,岳阳市,岳阳市,2-3年,2
2017,第三季度,上汽通用,别克,昂科威,2.0T,河源市,武汉市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,淮南市,周口市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,武威市,兰州市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,资阳市,成都市,2-3年,2
2017,第三季度,上汽通用,别克,昂科威,2.0T,广州市,揭阳市,1-2年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,成都市,北京市,3-4年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,沈阳市,沈阳市,2-3年,3
2017,第三季度,上汽通用,别克,昂科威,1.5T,宿迁市,金华市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,郑州市,濮阳市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,临沂市,济南市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,昆明市,昆明市,2-3年,2
2017,第三季度,上汽通用,别克,昂科威,2.0T,上海市,上海市,3-4年,4
2017,第三季度,上汽通用,别克,昂科威,2.0T,上海市,苏州市,3-4年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,郑州市,郑州市,2-3年,6
2017,第三季度,上汽通用,别克,昂科威,2.0T,福州市,福州市,2-3年,2
2017,第三季度,上汽通用,别克,昂科威,1.5T,西安市,唐山市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,深圳市,深圳市,2-3年,3
2017,第三季度,上汽通用,别克,昂科威,1.5T,湛江市,湛江市,1-2年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,盐城市,南京市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,徐州市,徐州市,2-3年,2
2017,第三季度,上汽通用,别克,昂科威,1.5T,东莞市,中山市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,邯郸市,天津市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,许昌市,郑州市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,河源市,广州市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,温州市,大连市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,朝阳市,朝阳市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,安庆市,东营市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,周口市,赣州市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,珠海市,珠海市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,枣庄市,枣庄市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,烟台市,威海市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,汕头市,广州市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,银川市,银川市,3-4年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,清远市,广州市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,汉中市,西安市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,永州市,永州市,1-2年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,西安市,宜宾市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,贵阳市,贵阳市,2-3年,2
2017,第三季度,上汽通用,别克,昂科威,1.5T,大连市,大连市,1-2年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,岳阳市,长沙市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,保定市,北京市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,重庆市,重庆市,2-3年,4
2017,第三季度,上汽通用,别克,昂科威,2.0T,北京市,唐山市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,滨州市,东营市,1-2年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,泰安市,泰安市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,宣城市,宣城市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,合肥市,阜阳市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,宜昌市,宜昌市,1-2年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,山南地区,山南地区,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,南昌市,惠州市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,盐城市,盐城市,2-3年,2
2017,第三季度,上汽通用,别克,昂科威,1.5T,马鞍山市,合肥市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,长沙市,金华市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,通辽市,通辽市,1-2年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,蚌埠市,蚌埠市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,青岛市,青岛市,3-4年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,黄石市,石家庄市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,聊城市,聊城市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,达州市,达州市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,惠州市,广州市,2-3年,2
2017,第三季度,上汽通用,别克,昂科威,1.5T,景德镇市,潍坊市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,温州市,温州市,1-2年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,商丘市,商丘市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,南通市,厦门市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,益阳市,益阳市,2-3年,2
2017,第三季度,上汽通用,别克,昂科威,2.0T,西宁市,西宁市,1-2年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,荆州市,荆州市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,昆明市,黔西南布依族苗族自治州,2-3年,2
2017,第三季度,上汽通用,别克,昂科威,2.0T,金华市,衢州市,3-4年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,阜阳市,阜阳市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,大理白族自治州,淮安市,3-4年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,常德市,常德市,1-2年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,合肥市,合肥市,1-2年,2
2017,第三季度,上汽通用,别克,昂科威,2.0T,临沂市,济南市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,大同市,宿州市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,泉州市,永州市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,广安市,广安市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,唐山市,唐山市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,威海市,黄山市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,合肥市,合肥市,2-3年,2
2017,第三季度,上汽通用,别克,昂科威,1.5T,芜湖市,淮南市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,三亚市,三亚市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,莆田市,厦门市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,红河哈尼族彝族自治州,红河哈尼族彝族自治州,2-3年,2
2017,第三季度,上汽通用,别克,昂科威,1.5T,郑州市,邯郸市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,宜宾市,成都市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,昆明市,永州市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,抚州市,抚州市,1-2年,2
2017,第三季度,上汽通用,别克,昂科威,2.0T,绍兴市,杭州市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,上海市,连云港市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,深圳市,惠州市,1-2年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,莱芜市,淄博市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,衡阳市,衡阳市,2-3年,4
2017,第三季度,上汽通用,别克,昂科威,2.0T,柳州市,北京市,3-4年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,邵阳市,邵阳市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,青岛市,青岛市,2-3年,3
2017,第三季度,上汽通用,别克,昂科威,1.5T,北京市,白城市,1-2年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,乌鲁木齐市,武汉市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,肇庆市,广州市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,烟台市,长春市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,武汉市,武汉市,2-3年,5
2017,第三季度,上汽通用,别克,昂科威,2.0T,广州市,广州市,2-3年,4
2017,第三季度,上汽通用,别克,昂科威,2.0T,张家口市,张家口市,1-2年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,佛山市,东莞市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,武汉市,武汉市,1-2年,13
2017,第三季度,上汽通用,别克,昂科威,2.0T,昆明市,遂宁市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,石家庄市,石家庄市,2-3年,8
2017,第三季度,上汽通用,别克,昂科威,2.0T,临沂市,潍坊市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,厦门市,厦门市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,西安市,西安市,3-4年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,金华市,金华市,2-3年,2
2017,第三季度,上汽通用,别克,昂科威,1.5T,南通市,南京市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,广安市,绵阳市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,南宁市,南宁市,2-3年,2
2017,第三季度,上汽通用,别克,昂科威,2.0T,德州市,上海市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,呼和浩特市,呼和浩特市,3-4年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,防城港市,南宁市,1-2年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,珠海市,韶关市,1-2年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,杭州市,杭州市,2-3年,4
2017,第三季度,上汽通用,别克,昂科威,2.0T,哈尔滨市,哈尔滨市,3-4年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,石家庄市,保定市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,衡水市,石家庄市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,杭州市,杭州市,1-2年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,哈尔滨市,重庆市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,北京市,廊坊市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,呼伦贝尔市,呼伦贝尔市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,湛江市,青岛市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,淄博市,淄博市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,福州市,郑州市,3-4年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,襄阳市,襄阳市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,武汉市,岳阳市,1-2年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,六安市,六安市,1-2年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,铁岭市,四平市,1-2年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,葫芦岛市,葫芦岛市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,重庆市,北京市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,德州市,德州市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,烟台市,威海市,2-3年,2
2017,第三季度,上汽通用,别克,昂科威,2.0T,朝阳市,葫芦岛市,3-4年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,西宁市,西宁市,1-2年,2
2017,第三季度,上汽通用,别克,昂科威,1.5T,厦门市,上海市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,娄底市,娄底市,1-2年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,池州市,池州市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,大理白族自治州,大理白族自治州,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,乌鲁木齐市,西安市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,太原市,太原市,2-3年,3
2017,第三季度,上汽通用,别克,昂科威,1.5T,济宁市,拉萨市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,台州市,漳州市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,毕节市,贵阳市,2-3年,2
2017,第三季度,上汽通用,别克,昂科威,2.0T,杭州市,克拉玛依市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,德州市,沧州市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,北京市,北京市,1-2年,2
2017,第三季度,上汽通用,别克,昂科威,2.0T,平凉市,平凉市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,菏泽市,菏泽市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,潍坊市,潍坊市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,河源市,惠州市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,郑州市,郑州市,3-4年,2
2017,第三季度,上汽通用,别克,昂科威,2.0T,黔西南布依族苗族自治州,毕节市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,重庆市,柳州市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,江门市,江门市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,葫芦岛市,济南市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,杭州市,苏州市,3-4年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,宣城市,苏州市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,哈密地区,乌鲁木齐市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,合肥市,烟台市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,唐山市,天津市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,天津市,通化市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,泰州市,烟台市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,合肥市,淮南市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,临沂市,临沂市,2-3年,3
2017,第三季度,上汽通用,别克,昂科威,2.0T,大连市,大连市,2-3年,3
2017,第三季度,上汽通用,别克,昂科威,2.0T,晋中市,晋中市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,惠州市,深圳市,2-3年,2
2017,第三季度,上汽通用,别克,昂科威,1.5T,镇江市,常州市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,新余市,新余市,1-2年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,玉溪市,玉溪市,1-2年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,信阳市,盐城市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,昆明市,西安市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,莱芜市,莱芜市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,黔西南布依族苗族自治州,黔西南布依族苗族自治州,2-3年,2
2017,第三季度,上汽通用,别克,昂科威,1.5T,厦门市,梧州市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,邯郸市,邯郸市,1-2年,2
2017,第三季度,上汽通用,别克,昂科威,1.5T,赤峰市,赤峰市,2-3年,2
2017,第三季度,上汽通用,别克,昂科威,1.5T,邯郸市,邯郸市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,绥化市,绥化市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,郑州市,焦作市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,天津市,天津市,2-3年,4
2017,第三季度,上汽通用,别克,昂科威,1.5T,佛山市,天津市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,开封市,开封市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,三门峡市,三门峡市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,德阳市,德阳市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,齐齐哈尔市,齐齐哈尔市,2-3年,3
2017,第三季度,上汽通用,别克,昂科威,2.0T,深圳市,深圳市,2-3年,5
2017,第三季度,上汽通用,别克,昂科威,1.5T,佛山市,赣州市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,嘉兴市,杭州市,2-3年,2
2017,第三季度,上汽通用,别克,昂科威,1.5T,济南市,锦州市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,青岛市,徐州市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,昭通市,昭通市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,温州市,温州市,1-2年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,凉山彝族自治州,凉山彝族自治州,1-2年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,哈密地区,青岛市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,广州市,广州市,2-3年,2
2017,第三季度,上汽通用,别克,昂科威,1.5T,太原市,太原市,2-3年,4
2017,第三季度,上汽通用,别克,昂科威,1.5T,南昌市,南昌市,1-2年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,拉萨市,拉萨市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,黄冈市,黄冈市,1-2年,3
2017,第三季度,上汽通用,别克,昂科威,2.0T,东营市,保定市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,黄冈市,武汉市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,通辽市,四平市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,鹤壁市,鹤壁市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,贵阳市,贵阳市,2-3年,5
2017,第三季度,上汽通用,别克,昂科威,2.0T,南宁市,湛江市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,衢州市,杭州市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,南京市,南京市,2-3年,2
2017,第三季度,上汽通用,别克,昂科威,1.5T,玉林市,南宁市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,毕节市,贵阳市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,石家庄市,日照市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,淄博市,东营市,1-2年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,嘉峪关市,朝阳市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,南平市,福州市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,黔东南苗族侗族自治州,黔南布依族苗族自治州,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,许昌市,济南市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,景德镇市,景德镇市,1-2年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,天津市,天津市,1-2年,5
2017,第三季度,上汽通用,别克,昂科威,1.5T,惠州市,西安市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,广州市,肇庆市,1-2年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,郑州市,郑州市,2-3年,7
2017,第三季度,上汽通用,别克,昂科威,2.0T,长沙市,长沙市,1-2年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,上海市,六安市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,镇江市,镇江市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,大同市,阳泉市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,荆州市,荆州市,1-2年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,湘西土家族苗族自治州,恩施土家族苗族自治州,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,德宏傣族景颇族自治州,德宏傣族景颇族自治州,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,天津市,唐山市,1-2年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,南宁市,南宁市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,西安市,西安市,2-3年,5
2017,第三季度,上汽通用,别克,昂科威,1.5T,丽水市,丽水市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,莆田市,莆田市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,珠海市,广州市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,黄石市,武汉市,2-3年,1
